Company Name,Contact Name,Category,Target Region,Email,Phone,Website,Recommended Sponsorship Tier,Pitch Angle
"Tridel Corporation","Sales & Marketing Team","Pre-Con Developer","Toronto Core, Etobicoke, North York","ask@tridel.com","416-661-9290","https://www.tridel.com","Pre-Con Builder Spotlight ($1,500–$3,000/mo)","Featured spotlight across Bloor West, Kipling Hub, and Downtown Toronto micro-market pages."
"The Daniels Corporation","Corporate Marketing & Sales","Pre-Con Developer","Toronto Downtown East, Mississauga City Centre","info@danielshomes.ca","416-598-2129","https://danielshomes.ca","Pre-Con Builder Spotlight ($1,500–$3,000/mo)","Highlight master-planned community launches across Mississauga City Centre and Regent Park/East Harbour."
"Menkes Developments","Marketing & Acquisitions Division","Pre-Con Developer","Toronto Core, Waterfront, Vaughan Metropolitan Centre","info@menkes.com","416-491-2222","https://www.menkes.com","Pre-Con Builder Spotlight ($1,500–$3,000/mo)","Sponsor Sugar Wharf Waterfront & VMC transit hub development spotlight cards."
"Mattamy Homes Canada","GTA Sales Operations","Pre-Con Developer","Oakville, Milton, Markham, Brampton","gtasales@mattamycorp.com","905-829-7600","https://mattamyhomes.com","Pre-Con Builder Spotlight ($1,500–$3,000/mo)","Capture suburban family movers exploring Oakville, Markham, and Halton master-planned neighborhoods."
"CentreCourt Developments","Development & Sales Office","Pre-Con Developer","Toronto Downtown, Transit Corridors, Pickering","info@centrecourt.com","416-596-0300","https://centrecourt.com","Pre-Con Builder Spotlight ($1,500–$3,000/mo)","Showcase transit-oriented condo launches along Ontario Line subway and Pickering Town Centre."
"Graywood Developments","Sales & Infill Development","Pre-Con Developer","The Junction, Dupont West, Downtown Toronto","info@graywoodgroup.com","416-597-1955","https://www.graywoodgroup.com","Pre-Con Builder Spotlight ($1,500–$3,000/mo)","Promote boutique west-end infill projects in The Junction and Dupont West articles."
"Pinnacle International","Marketing & Sales","Pre-Con Developer","Toronto Waterfront, Mississauga Hurontario","info@pinnacleinternational.ca","416-596-9964","https://www.pinnacleinternational.ca","Pre-Con Builder Spotlight ($1,500–$3,000/mo)","Feature Pinnacle One Yonge waterfront towers and Pinnacle Grand Park in Peel."
"Pemberton Group","Client Relations & Sales","Pre-Con Developer","Yonge & Eglinton, Yorkville, Mississauga","info@pembertongroup.com","905-326-4100","https://pembertongroup.com","Pre-Con Builder Spotlight ($1,500–$3,000/mo)","Feature midtown high-rises around Yonge-Eglinton Crosstown transit interchange."
"Great Gulf","Residential Sales","Pre-Con Developer","Toronto Core, Oakville, Richmond Hill","info@greatgulf.com","416-449-1340","https://www.greatgulf.com","Pre-Con Builder Spotlight ($1,500–$3,000/mo)","Target luxury homebuyers looking at Oakville waterfront and King West master builds."
"TAS Impact Developments","Development Team","Pre-Con Developer","The Junction, West Toronto Railpath","info@tasimpact.ca","416-510-8181","https://tasimpact.ca","Pre-Con Builder Spotlight ($1,500–$3,000/mo)","Sponsor eco-conscious, design-forward loft developments in Junction & Dupont West."
"Plaza Corp (Plazacorp)","Condo Sales Division","Pre-Con Developer","Liberty Village, Yorkville, North York","info@plazacorp.com","416-862-2665","https://pureplaza.com","Pre-Con Builder Spotlight ($1,500–$3,000/mo)","Target young professionals researching King West & Liberty Village condo suites."
"Empire Communities","Suburban Community Sales","Pre-Con Developer","Brampton, Vaughan, Halton","info@empirecommunities.com","905-307-8102","https://www.empirecommunities.com","Pre-Con Builder Spotlight ($1,500–$3,000/mo)","Promote entry-level townhomes and detached subdivisions across Peel & York regions."
"Paul Johnston Unique Urban Homes (Right at Home)","Paul Johnston","Realtor / Brokerage","Leslieville, The Junction, Toronto Lofts","paul@uniqueurbanhomes.com","416-465-7850","https://www.uniqueurbanhomes.com","Exclusive Area Sponsor ($750–$1,500/mo)","Exclusive brand placement on Leslieville and Junction architectural loft pages."
"Alex Irish & Associates (Sotheby's International)","Alex Irish","Realtor / Brokerage","Downtown Oakville, Kerr Village, Old Oakville","airish@sothebysrealty.ca","905-845-0024","https://www.alexirish.com","Exclusive Area Sponsor ($750–$1,500/mo)","Dominant luxury sponsorship for the #1 rated Oakville & Halton waterfront profiles."
"The Invidiata Team (eXp Realty)","Christopher Invidiata","Realtor / Brokerage","Oakville, Burlington, Mississauga Waterfront","info@invidiata.com","905-338-2121","https://www.invidiata.com","Exclusive Area Sponsor ($750–$1,500/mo)","Position as premier luxury waterfront specialist on Port Credit & Oakville pages."
"The Good Manors Real Estate Group","Armani & Team","Realtor / Brokerage","The Junction, High Park, Bloor West Village","info@thegoodmanors.com","416-762-8255","https://www.thegoodmanors.com","Exclusive Area Sponsor ($750–$1,500/mo)","Featured neighborhood specialist badge on The Junction & Roncesvalles matches."
"Michael Camber & Associates (Royal LePage)","Michael & Sara Camber","Realtor / Brokerage","Liberty Village, King West, CityPlace","info@michaelcamber.com","416-520-0779","https://michaelcamber.com","Exclusive Area Sponsor ($750–$1,500/mo)","Top realtor placement on King West & Liberty Village condo search traffic."
"Cailey Heaps (Heaps Estrin Real Estate)","Heaps Estrin Team","Realtor / Brokerage","Yonge & Eglinton, Rosedale, Leaside","team@heapsestrin.com","416-424-4910","https://heapsestrin.com","Exclusive Area Sponsor ($750–$1,500/mo)","Exclusive high-net-worth sponsor for Midtown, Lawrence Park & Leaside."
"The Lionetti Group (Chestnut Park)","Matt Lionetti","Realtor / Brokerage","The Beaches, Upper Beaches, Leslieville","matt@mattlionetti.com","416-508-3907","https://mattlionetti.com","Exclusive Area Sponsor ($750–$1,500/mo)","Exclusive verified advisor banner across East Toronto & The Beaches pages."
